,0
0,443617650
1,434237414
2,27679200
3,49504734
4,173163159
5,12819721
6,186812899
7,173090082
8,49464693
9,12822033
10,173101751
11,60254803
12,173104040
13,240850869
14,173102446
15,458686065
16,389010134
17,396846915
18,188572117
19,240851230
20,243031721
21,27627631
22,188573233
23,145752004
24,62902612
25,173165644
26,291067443
27,435905761
28,49504560
29,434238837
30,145753334
31,27679249
32,38143363
33,53210074
34,186816880
35,366631216
36,38160128
37,291067407
38,402313683
39,366631557
40,173165778
41,415366220
42,173109005
43,82052353
44,12822024
45,49546894
46,435302730
47,173145824
48,49418950
49,12822487
50,243015988
51,386589173
52,240813544
53,366622628
54,20537344
55,49418770
56,366567904
57,366631554
58,458655343
59,439858133
60,173096881
61,443583704
62,173163665
63,240720273
64,6992013
65,49426779
66,240628501
67,240626292
68,348663532
69,38065801
70,77535670
71,458685835
72,240853015
73,366355029
74,38138390
75,311151401
76,366495798
77,242944862
78,366568387
79,173145213
80,458686274
81,443612274
82,173090030
83,240766393
84,49546727
85,9709999
86,188578491
87,27682779
88,242991130
89,9709999
90,38116187
91,145753700
92,443586497
93,456887847
94,173165467
95,82054737
96,49522818
97,242989194
98,456889709
99,173104066
100,435904057
101,49465013
102,350475586
103,145963686
104,38159716
105,458678447
106,38115273
107,443586478
108,38064540
109,49464589
110,345457586
111,38088135
112,67822310
113,435340431
114,240765977
115,240813303
116,435904391
117,173096780
118,387612290
119,146580146
120,12784168
121,62903246
122,240662715
123,242960744
124,38115353
125,425465633
126,389042837
127,366444371
128,6992021
129,38204970
130,38144276
131,173098880
132,69889982
133,173145325
134,389081543
135,12857706
136,444006000
137,240629307
138,389051625
139,173165423
140,49419460
141,243014797
142,6951430
143,366444340
144,240765573
145,366622966
146,53207965
147,38115261
148,49426811
149,49464706
150,27636858
151,60284278
152,443616385
153,6992130
154,7024655
155,366526472
156,291089848
157,243015807
158,458686273
159,38144157
160,12822200
161,240850519
162,439852848
163,27654188
164,366576121
165,443616465
166,49418851
167,291074601
168,38143434
169,82054716
170,82054705
171,12770209
172,173108739
173,81986127
174,389008989
175,366577115
176,458682467
177,146579962
178,7020556
179,38064629
180,38115428
181,38161042
182,173162924
183,38142080
184,437030688
185,243012109
186,366355005
187,350475599
188,389083281
189,468988266
190,396742947
191,49416871
192,82052253
193,145754048
194,402313598
195,243011667
196,38139456
197,350448340
198,173163645
199,38131620
200,443617932
201,468987786
202,173145137
203,458682770
204,443609225
205,408816829
206,468992408
207,49427392
208,82055045
209,49419231
210,38116742
211,242964538
212,145533257
213,82054750
214,443617525
215,49546877
216,435880421
217,173163841
218,242990951
219,366399354
220,20495013
221,38141192
222,173102274
223,186812763
224,366444463
225,38132245
226,468984007
227,242939776
228,49544463
