campaign,start,end,start_jd,end_jd,start_kjd,end_kjd
0,2014-03-08,2014-05-27,2456724.5,2456724.5,1891.5,1971.5
1,2014-05-30,2014-08-21,2456807.5,2456807.5,1974.5,2057.5
2,2014-08-23,2014-11-13,2456892.5,2456892.5,2059.5,2141.5
3,2014-11-14,2015-02-03,2456975.5,2456975.5,2142.5,2223.5
4,2014-02-07,2015-04-23,2456695.5,2456695.5,1862.5,2302.5
5,2015-04-27,2015-07-10,2457139.5,2457139.5,2306.5,2380.5
6,2015-07-14,2015-09-30,2457217.5,2457217.5,2384.5,2462.5
7,2015-10-04,2015-12-26,2457299.5,2457299.5,2466.5,2549.5
8,2016-01-03,2016-03-23,2457390.5,2457390.5,2557.5,2637.5
9,2016-04-21,2016-07-01,2457499.5,2457499.5,2666.5,2737.5
10,2016-07-06,2016-09-26,2457575.5,2457575.5,2742.5,2824.5
11,2016-09-24,2016-12-08,2457655.5,2457655.5,2822.5,2897.5
12,2018-12-15,2017-03-04,2458467.5,2458467.5,3634.5,2983.5
13,2017-03-08,2017-05-27,2457820.5,2457820.5,2987.5,3067.5
14,2017-05-31,2017-08-19,2457904.5,2457904.5,3071.5,3151.5
15,2017-08-23,2017-11-20,2457988.5,2457988.5,3155.5,3244.5
16,2017-12-07,2018-02-25,2458094.5,2458094.5,3261.5,3341.5
17,2018-03-01,2018-05-08,2458178.5,2458178.5,3345.5,3413.5
18,2018-05-12,2018-07-02,2458250.5,2458250.5,3417.5,3468.5
19,2018-08-29,2018-09-26,2458359.5,2458359.5,3526.5,3554.5
