EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7
201204568,169.217787,-3.996553,16.999,0,0,0,0,0,0,0
210440889,63.890394,14.345974,16.999,0,0,0,0,1,0,0
211507865,123.718867,13.25034,16.999,0,0,0,0,0,0,1
201144538,175.202058,-5.42586,16.996,0,0,0,0,0,0,0
201156882,173.086982,-5.131429,16.995,0,0,0,0,0,0,0
205938121,337.80285,-16.768768,16.995,0,1,0,0,0,0,0
211520451,124.298601,13.427164,16.995,0,0,0,0,0,0,1
201171721,171.748151,-4.775429,16.993,0,0,0,0,0,0,0
201149362,174.853994,-5.310294,16.993,0,0,0,0,0,0,0
205954015,337.851401,-16.238707,16.991,0,1,0,0,0,0,0
201165331,172.183087,-4.930753,16.989,0,0,0,0,0,0,0
211492818,124.770747,13.036066,16.989,0,0,0,0,0,0,1
201156186,172.440001,-5.147908,16.988,0,0,0,0,0,0,0
205977552,340.817658,-15.49546,16.988,0,1,0,0,0,0,0
201243013,172.302601,-3.315373,16.987,0,0,0,0,0,0,0
211357225,132.01116,10.943121,16.985,0,0,0,0,0,0,1
210411065,61.392041,13.717729,16.983,0,0,0,0,1,0,0
211343713,130.820943,10.69901,16.981,0,0,0,0,0,0,1
205969957,339.06443,-15.730121,16.978,0,1,0,0,0,0,0
205953950,340.822114,-16.240591,16.978,0,1,0,0,0,0,0
210379174,61.063201,12.975158,16.977,0,0,0,0,1,0,0
211484954,123.055291,12.920982,16.977,0,0,0,0,0,0,1
206002319,343.115263,-14.760034,16.975,0,1,0,0,0,0,0
205956294,341.182435,-16.16573,16.974,0,1,0,0,0,0,0
201368268,167.155442,-1.437021,16.973,0,0,0,0,0,0,0
201175137,173.320751,-4.694166,16.973,0,0,0,0,0,0,0
201915211,177.839209,7.645373,16.973,0,0,0,0,0,0,0
210418263,64.710954,13.878199,16.973,0,0,0,0,1,0,0
201133772,175.05415,-5.695927,16.972,0,0,0,0,0,0,0
210409384,64.058682,13.680255,16.971,0,0,0,0,1,0,0
205962387,341.361589,-15.967478,16.97,0,1,0,0,0,0,0
211515210,123.660583,13.353463,16.97,0,0,0,0,0,0,1
201239450,170.880376,-3.36958,16.969,0,0,0,0,0,0,0
201387472,166.882277,-1.14961,16.968,0,0,0,0,0,0,0
211505043,124.484001,13.210136,16.968,0,0,0,0,0,0,1
211337839,128.361548,10.592756,16.968,0,0,0,0,0,0,1
201160431,171.13351,-5.045858,16.967,0,0,0,0,0,0,0
201902294,177.876068,7.373592,16.967,0,0,0,0,0,0,0
205962958,339.609645,-15.949943,16.967,0,1,0,0,0,0,0
211401981,128.290713,11.670667,16.967,0,0,0,0,0,0,1
201151442,173.301872,-5.261382,16.966,0,0,0,0,0,0,0
210320835,59.010246,11.368711,16.966,0,0,0,0,1,0,0
201151434,172.625738,-5.261554,16.965,0,0,0,0,0,0,0
201142128,176.50792,-5.487006,16.965,0,0,0,0,0,0,0
205954800,337.886883,-16.214584,16.964,0,1,0,0,0,0,0
201140377,175.758548,-5.529427,16.963,0,0,0,0,0,0,0
210385962,53.981449,13.137454,16.963,0,0,0,0,1,0,0
201176671,173.004687,-4.656554,16.962,0,0,0,0,0,0,0
201146462,173.603605,-5.379176,16.961,0,0,0,0,0,0,0
205910788,338.008722,-17.774284,16.961,0,1,0,0,0,0,0
210383433,60.972644,13.076548,16.961,0,0,0,0,1,0,0
211528213,124.012317,13.538101,16.96,0,0,0,0,0,0,1
205964034,340.369333,-15.914745,16.959,0,1,0,0,0,0,0
211348567,128.158159,10.78743,16.957,0,0,0,0,0,0,1
211416307,128.28773,11.886589,16.957,0,0,0,0,0,0,1
201181430,173.623374,-4.541841,16.955,0,0,0,0,0,0,0
211334498,127.559204,10.530338,16.952,0,0,0,0,0,0,1
211401183,128.386572,11.657914,16.951,0,0,0,0,0,0,1
211356238,129.275816,10.92637,16.951,0,0,0,0,0,0,1
206557086,335.716509,-3.624155,16.95,0,0,0,0,0,0,0
201166542,171.898748,-4.902493,16.949,0,0,0,0,0,0,0
201368666,167.919903,-1.430885,16.948,0,0,0,0,0,0,0
201178300,173.232332,-4.618566,16.946,0,0,0,0,0,0,0
205970167,339.943731,-15.723652,16.945,0,1,0,0,0,0,0
211421056,126.174571,11.956129,16.945,0,0,0,0,0,0,1
201182490,173.858816,-4.51727,16.943,0,0,0,0,0,0,0
205967602,339.435771,-15.804757,16.943,0,1,0,0,0,0,0
205973417,339.221477,-15.620244,16.941,0,1,0,0,0,0,0
210391779,62.006328,13.273395,16.941,0,0,0,0,1,0,0
