,0
0,240720896
1,348663808
2,458677760
3,348663813
4,59039750
5,12723721
6,385811983
7,12822545
8,301033489
9,388977683
10,58959895
11,243011609
12,468988443
13,242939931
14,243031581
15,240764959
16,12773408
17,12784674
18,240663587
19,438071843
20,243015205
21,366499366
22,60284454
23,311128611
24,389052456
25,389008939
26,186817068
27,242969132
28,435909166
29,385812015
30,243011119
31,366485039
32,111752242
33,21184563
34,243010612
35,366623285
36,435307058
37,69814834
38,434239028
39,415339577
40,307814969
41,240764987
42,240662588
43,396734013
44,389043261
45,443966011
46,366622784
47,242939970
48,306903620
49,443995718
50,435339847
51,443965000
52,21289550
53,366484561
54,438543953
55,434233425
56,366568530
57,385903188
58,372611670
59,242961495
60,12784216
61,366568535
62,12787291
63,38313052
64,443970140
65,138691166
66,385814111
67,468988512
68,389008480
69,366569059
70,7061092
71,458677860
72,366576742
73,306695782
74,434135656
75,242985065
76,12858476
77,37652591
78,366576758
79,389051511
80,240812152
81,242944633
82,438490744
83,434232955
84,385813116
85,242885756
86,242965118
87,366527102
88,389019257
89,311150722
90,188573314
91,242944646
92,366499976
93,435880073
94,366622859
95,434228875
96,27629711
97,366577296
98,242968721
99,387714195
100,145964181
101,438427799
102,242968727
103,438102168
104,348722331
105,27654301
106,387142302
107,242991266
108,244161191
109,240627368
110,366395561
111,408012968
112,21285546
113,445961900
114,59613362
115,385758388
116,188573364
117,415369912
118,437901497
119,242964665
120,146799150
121,27654333
122,37664958
123,242960574
124,366622912
125,59002051
126,456864964
127,308254407
128,372654792
129,240851657
130,435882186
131,188573383
132,366528716
133,12784845
134,240627405
135,69747919
136,389009616
137,435880145
138,386588876
139,243014867
140,12723924
141,348662485
142,242960598
143,389083349
144,438114525
145,7020254
146,59085023
147,37664990
148,356732643
149,59003115
150,6992111
151,388994809
152,12723961
153,458686206
154,242985215
155,311151363
156,242994948
157,242994949
158,366657286
159,242944780
160,438319885
161,456889102
162,242960653
163,443965709
164,242981649
165,366410512
166,372611347
167,438194452
168,438457108
169,243011864
170,308255000
171,69839129
172,356732698
173,443965212
174,389051677
175,188570399
176,372424992
177,396846792
178,311148835
179,386588964
180,9632550
181,366623529
182,242995498
183,434230572
184,243014958
185,243015470
186,12773171
187,435335988
188,435336503
189,366568760
190,146800954
191,59085115
192,6951741
193,69814589
194,307127614
195,445927744
196,468988737
197,59002180
198,366632260
199,307016006
200,242981705
201,434230605
202,188578639
203,188570449
204,435903825
205,434138450
206,438206804
207,244163413
208,12858196
209,12787544
210,242883417
211,8991066
212,242994521
213,438289244
214,242944349
215,242960732
216,415389528
217,435903839
218,9031522
219,188569442
220,434160486
221,366484839
222,146579304
223,348662632
224,59003240
225,434131304
226,435332460
227,389117803
228,438231406
229,240849778
230,146579318
231,145752439
232,188569974
233,389019000
234,415339898
235,284852092
236,27679101
237,69763457
238,389009793
239,240849795
240,435881860
241,366657411
242,348662149
243,434226567
244,366528389
245,242968456
246,445937544
247,435336587
248,20486540
249,435340174
250,59085199
251,186853268
252,308170645
253,308170646
254,27626903
255,366528408
256,21221785
257,345457562
258,12724123
259,21221788
260,242985373
261,415389591
262,458681751
263,366443426
264,242883492
265,366355365
266,242960294
267,242884007
268,366444455
269,345454506
270,9031595
271,242969005
272,244134318
273,188580272
274,240716209
275,396734389
276,443996598
277,345457593
278,438528954
279,69817787
280,366527933
281,155454917
282,435881929
283,435925453
284,345454031
285,438496720
286,244136402
287,366484437
288,366355413
289,20444632
290,242984921
291,243007962
292,243015134
293,188580319
294,402313695
295,443965408
296,37695970
297,242985446
298,366577129
299,21273577
300,435336681
301,242991084
302,366410730
303,366444009
304,60284401
305,438489075
306,435882484
307,366484980
308,434135029
309,9070070
310,366398968
311,21184505
