EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
60018226,357.191667,-8.145,9.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60018275,1.684468,-5.741762,9.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60018305,4.80385,-5.048762,9.88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60020485,5.169,-5.858222,9.9926948,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60020490,3.528458,-5.786444,9.9128707,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60020501,355.769708,-8.962972,9.7074255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60021389,2.769229,-5.783979,9.639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60021789,2.189597,-6.09284,9.595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60021996,3.49646,-5.523665,9.975,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60022304,5.64631,-4.761249,9.957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60023767,355.793553,-8.549061,9.709,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
60023877,356.667875,-8.630717,9.772,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,0,NA,NA,NA,NA,NA,NA
201085409,180.570615,-7.006545,9.362,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,STAR,1,0,808.8,4439,2.15,-0.142,15.06,1.22
201088126,180.971352,-6.928697,9.238,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,STAR,1,0,3065,3919,0.96,-0.418,55.41,1.02
201093530,180.823426,-6.778823,9.851,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,STAR,1,0,2577,3821,0.51,-0.68,87.22,0.92
201097883,179.754222,-6.653678,8.473,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,STAR,1,0,206.2,6633,3.63,0.03,3.46,1.94
201136194,175.627007,-5.632796,9.716,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4233,1.54,-0.384,27.85,1.02
201143243,176.882552,-5.458699,9.81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6550,4.26,-0.098,1.36,1.26
201146022,175.137605,-5.38961,9.956,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6434,3.96,-0.079,1.93,1.41
201147711,176.587867,-5.348893,8.926,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6420,3.88,0.029,2.19,1.54
201150552,173.224929,-5.282751,9.225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4687,2.47,-0.107,11.26,1.32
201151359,176.881091,-5.26362,8.566,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,5052,3.49,-0.197,3.29,1.29
201153232,176.091719,-5.218529,9.837,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6054,4.27,0.02,1.27,1.14
