EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,epic_name,tm_name,epic_candname,pl_name,k2c_disp,ra,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_rade,st_teff,st_logg
201126503,175.938421,-5.873002,17.275,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 201126503,2MASS J11434522-0552228,EPIC 201126503.01,NA,CANDIDATE,175.938416,-5.873002,1.1947488,2456810.382,0.448,0.0804167,0,NA,4.19,3919,NA
201176672,169.150206,-4.656546,13.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 201176672,2MASS J11163606-0439236,EPIC 201176672.01,NA,CANDIDATE,169.150208,-4.656546,79.9999,2456877.8046,NA,0.4896,NA,NA,10.2,4542,4.75
201182911,172.710419,-4.507613,15.516,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 201182911,2MASS J11305050-0430273,EPIC 201182911.01,NA,CANDIDATE,172.710419,-4.507613,0.99656225,2456811.09,35.5,0.0941667,0.53,NA,32.8,3727,NA
201264302,169.598013,-2.991577,13.879,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 201264302,2MASS J11182349-0259301,EPIC 201264302.01,NA,CANDIDATE,169.598007,-2.991577,0.21219899,2456810.278,0.0662,0.0216667,0.35,NA,1.05,3468,NA
201264302,169.598013,-2.991577,13.879,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 201264302,2MASS J11182349-0259301,EPIC 201264302.01,NA,CANDIDATE,169.598007,-2.991577,0.212194,2456812.40015,NA,NA,NA,83.3,0.77,3299,5.11
201270176,170.132598,-2.902582,12.452,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 201270176,2MASS J11203183-0254093,EPIC 201270176.01,NA,CANDIDATE,170.132599,-2.902582,1.5778643,2456810.434,0.891,0.1258333,0.92,NA,7.55,4811,NA
201270176,170.132598,-2.902582,12.452,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 201270176,2MASS J11203183-0254093,EPIC 201270176.01,NA,CANDIDATE,170.132599,-2.902582,1.57771549,2456818.326995,1.823,0.1285833,NA,NA,NA,NA,NA
201270464,170.13348,-2.898169,9.392,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 201270464,2MASS J11203204-0253534,EPIC 201270464.01,NA,CANDIDATE,170.133484,-2.898169,1.57771549,2456818.327691,0.875,0.1247083,NA,NA,NA,NA,NA
202086968,97.00563,16.38885,12.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202086968,2MASS J06280135+1623198,EPIC 202086968.01,NA,CANDIDATE,97.00563,16.388849,1.8490876,2456772.183,2.74,0.13,0.97,NA,17.3,5693,NA
202088212,95.6413,14.74177,11.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202088212,2MASS J06223391+1444303,EPIC 202088212.01,NA,CANDIDATE,95.641296,14.74177,2.620724,2456772.299,0.889,0.1025,0.91,NA,11.7,6013,NA
202088212,95.6413,14.74177,11.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202088212,2MASS J06223391+1444303,EPIC 202088212.01,NA,CANDIDATE,95.641296,14.74177,2.62077,2456769.67792,NA,0.088,NA,NA,58,6302,4.23
202093020,98.27432,16.87024,14.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202093020,2MASS J06330583+1652128,EPIC 202093020.01,NA,CANDIDATE,98.274323,16.870239,4.1376047,2456774.311,0.911,0.0729167,0.74,NA,7.33,4581,NA
202565282,247.426053,-29.201726,15.112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202565282,2MASS J16294225-2912062,EPIC 202565282.01,NA,CANDIDATE,247.426056,-29.201727,11.97495,2456900.74971,NA,0.28275,NA,NA,256,5200,3.32
202565282,247.426053,-29.201726,15.112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202565282,2MASS J16294225-2912062,EPIC 202565282.01,NA,CANDIDATE,247.426056,-29.201727,11.975818,2456900.746,7.83,0.285,0.75,NA,8.43,3320,NA
202634963,242.897897,-28.934636,12.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202634963,2MASS J16113549-2856046,EPIC 202634963.01,NA,CANDIDATE,242.897903,-28.934635,28.707623,2456920.11,3.57,0.1504167,0.82,NA,21.2,5838,NA
202675839,243.842095,-28.780161,12.362,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202675839,2MASS J16152210-2846485,EPIC 202675839.01,NA,CANDIDATE,243.842102,-28.780161,15.466674,2456898.8485,NA,NA,NA,85.475,16.121,5807,4.25
202675839,243.842095,-28.780161,12.362,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202675839,2MASS J16152210-2846485,EPIC 202675839.01,NA,CANDIDATE,243.842102,-28.780161,15.4715,2456898.8347,NA,0.1512,NA,NA,9.2,5791,4
