EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
60017939,358.283875,-8.487925,16.922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,1,NA,NA,NA,NA,NA,NA
60017939,358.283875,-8.487925,16.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NA,1,1,NA,NA,NA,NA,NA,NA
201158092,173.434327,-5.102532,15.884,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,0,1,NA,5732,4.41,-0.69,0.91,0.82
201162999,174.915821,-4.984468,8.819,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,0,1,NA,5735,4.46,-0.064,0.96,1
201164031,174.983106,-4.960814,8.569,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,0,1,NA,5987,4.36,-0.035,1.12,1.07
201172543,173.964676,-4.755692,8.416,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,1,NA,5733,4.45,-0.013,0.98,1
201451176,162.715434,-0.202108,17.248,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STAR,1,1,199.5,3502,5.06,-0.058,0.22,0.22
202059229,101.69051,15.96171,10.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA
202062419,95.36542,17.29463,9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA
202062450,95.8635,14.54714,10.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA
202717132,243.812412,-28.62559,12.944,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STAR,1,1,NA,5843,4.5,-1.099,0.79,0.76
205917956,338.255734,-17.501484,8.246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,STAR,1,1,NA,5139,3.61,-0.341,2.64,1.1
205924248,336.762796,-17.263655,7.722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,STAR,1,1,NA,4955,3.03,-0.412,5.25,1.17
206019387,343.319723,-14.2637,9.131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,STAR,1,1,NA,3472,5.07,-0.017,0.22,0.21
210317378,58.143084,11.26078,12.719,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STAR,1,1,NA,3788,4.92,0.071,0.36,0.4
210327027,58.847376,11.562141,15.399,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STAR,1,1,NA,1755,5.37,-0.004,0.09,0.07
210381639,58.978719,13.033308,18.205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STAR,1,1,NA,NA,NA,NA,NA,NA
210395719,61.158092,13.366692,17.546,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STAR,1,1,NA,NA,NA,NA,NA,NA
210397465,59.600969,13.408553,17.668,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STAR,1,1,NA,NA,NA,NA,NA,NA
210398578,59.225646,13.433897,18.367,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STAR,1,1,NA,NA,NA,NA,NA,NA
210412981,59.539096,13.760826,16.773,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STAR,1,1,NA,NA,NA,NA,NA,NA
210415184,59.540615,13.810125,18.343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STAR,1,1,NA,NA,NA,NA,NA,NA
