,sector,start,end,start_jd,end_jd,start_btjd,end_btjd
0,1,2018-07-25,2018-08-22,2458324.5,2458324.5,1324.5,1352.5
1,2,2018-08-22,2018-09-20,2458352.5,2458352.5,1352.5,1381.5
2,3,2018-09-20,2018-10-18,2458381.5,2458381.5,1381.5,1409.5
3,4,2018-10-18,2018-11-15,2458409.5,2458409.5,1409.5,1437.5
4,5,2018-11-15,2018-12-11,2458437.5,2458437.5,1437.5,1463.5
5,6,2018-12-11,2019-01-07,2458463.5,2458463.5,1463.5,1490.5
6,7,2019-01-07,2019-02-02,2458490.5,2458490.5,1490.5,1516.5
7,8,2019-02-02,2019-02-28,2458516.5,2458516.5,1516.5,1542.5
8,9,2019-02-28,2019-03-26,2458542.5,2458542.5,1542.5,1568.5
9,10,2019-03-26,2019-04-22,2458568.5,2458568.5,1568.5,1595.5
10,11,2019-04-22,2019-05-21,2458595.5,2458595.5,1595.5,1624.5
11,12,2019-05-21,2019-06-19,2458624.5,2458624.5,1624.5,1653.5
12,13,2019-06-19,2019-07-18,2458653.5,2458653.5,1653.5,1682.5
