,pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2
0,KOI-351,b,2013,284.433492,49.305161,,2454970.6906,0.0017,-0.0017,1,0.1663,8,0,1,Kepler,89.4,1.5,-1.5,,1.2,0.1,-0.1,1.2,0.1,-0.1,6080.0,260.0,-170.0,13.804,12.79,12.530999999999999,0.074,0.016,-0.016,0.11699999999999999,0.015,-0.015,0.0071400000000000005,,,,7.008151,1.9e-05,-1.9e-05,,,
1,KOI-351,c,2013,284.433492,49.305161,,2454972.5687,0.0023,-0.0023,1,0.1838,8,0,1,Kepler,89.68,0.74,-0.74,,1.2,0.1,-0.1,1.2,0.1,-0.1,6080.0,260.0,-170.0,13.804,12.79,12.530999999999999,0.089,0.012,-0.012,0.106,0.012,-0.012,0.0057,,,,8.719375,2.7e-05,-2.7e-05,,,
2,KOI-351,d,2013,284.433492,49.305161,,2454991.9656,0.0042,-0.0042,1,0.35,8,0,1,Kepler,89.71,0.29,-0.29,,1.2,0.1,-0.1,1.2,0.1,-0.1,6080.0,260.0,-170.0,13.804,12.79,12.530999999999999,0.32,0.05,-0.05,0.256,0.027000000000000003,-0.027000000000000003,0.0271,,,,59.73667,0.00038,-0.00038,,,
3,KOI-351,e,2013,284.433492,49.305161,,2454967.3127,0.0063,-0.0063,1,0.4046,8,0,1,Kepler,89.79,0.19,-0.19,,1.2,0.1,-0.1,1.2,0.1,-0.1,6080.0,260.0,-170.0,13.804,12.79,12.530999999999999,0.42,0.06,-0.06,0.237,0.026000000000000002,-0.026000000000000002,0.0238,,,,91.93913,0.00073,-0.00073,,,
4,KOI-351,f,2013,284.433492,49.305161,,2455087.704,0.014,-0.014,1,0.4558,8,0,1,Kepler,89.77,0.31,-0.31,,1.2,0.1,-0.1,1.2,0.1,-0.1,6080.0,260.0,-170.0,13.804,12.79,12.530999999999999,0.48,0.09,-0.09,0.257,0.046,-0.046,0.0272,,,,124.9144,0.0019,-0.0019,,,
5,KOI-351,g,2013,284.433492,49.305161,,2454980.0364,0.0014,-0.0014,1,0.5247,8,0,1,Kepler,89.8,0.06,-0.06,,1.2,0.1,-0.1,1.2,0.1,-0.1,6080.0,260.0,-170.0,13.804,12.79,12.530999999999999,0.71,0.08,-0.08,0.723,0.071,-0.071,0.8,,,,210.60697,0.00043,-0.00043,,,
6,KOI-351,h,2013,284.433492,49.305161,,2454973.49631,0.00082,-0.00082,1,0.614,8,0,1,Kepler,89.6,1.3,-1.3,,1.2,0.1,-0.1,1.2,0.1,-0.1,6080.0,260.0,-170.0,13.804,12.79,12.530999999999999,1.01,0.11,-0.11,1.008,0.08900000000000001,-0.08900000000000001,1.2,,,,331.60059,0.00037,-0.00037,,,
7,Kepler-91,b,2013,285.67287200000004,44.116734,,2454969.3958,0.0002,-0.0002,1,,1,0,1,Kepler,69.68,0.67,-0.57,,1.31,0.1,-0.1,6.3,0.16,-0.16,4550.0,75.0,-75.0,12.495,10.79,10.235,0.0731,0.0034,-0.0031,1.367,0.069,-0.06,0.81,0.18,-0.17,2040.0,6.24658,8e-05,-8e-05,0.0519,0.0095,-0.0088
8,Kepler-92,b,2013,289.086058,41.562940999999995,,,,,1,,3,0,1,Kepler,,,,,,,,1.53,,,5883.0,,,11.565,10.747,10.47,,,,0.313,0.009000000000000001,-0.009000000000000001,0.202,0.044,-0.044,,13.749,,,0.17,0.1,-0.17
9,Kepler-92,c,2013,289.086058,41.562940999999995,,,,,1,,3,0,1,Kepler,,,,,,,,1.53,,,5883.0,,,11.565,10.747,10.47,,,,0.23199999999999998,0.006999999999999999,-0.006999999999999999,0.019,0.006,-0.006,,26.723,,,0.04,0.22,-0.04
10,Kepler-93,b,2014,291.418281,38.672354,0.022,,,,1,,2,0,1,Kepler,89.18,0.04,-0.04,,1.09,0.14,-0.14,0.98,0.04,-0.04,5669.0,75.0,-75.0,9.931000000000001,8.771,8.446,0.053,0.002,-0.002,0.14,0.01,-0.01,0.01,0.0,0.0,1037.0,4.72674,1e-06,-1e-06,0.0,,
12,Kepler-94,b,2014,281.194747,47.497147999999996,,2454967.9998,,,1,,2,0,1,Kepler,,,,,0.81,0.06,-0.06,0.76,0.03,-0.03,4781.0,98.0,-98.0,12.895,11.181,10.681,0.03106,0.0012900000000000001,-0.0012900000000000001,0.313,0.013000000000000001,-0.013000000000000001,0.034,0.004,-0.004,827.0,2.50806,,,,,
14,Kepler-95,b,2014,284.482459,44.398037,,2454964.9684099997,,,1,,1,0,1,Kepler,,,,,1.08,0.08,-0.08,1.41,0.04,-0.04,5699.0,74.0,-74.0,12.345999999999998,11.21,10.867,,,,0.305,0.008,-0.008,0.041,0.009,-0.009,,11.5231,,,,,
15,Kepler-96,b,2014,297.06964300000004,40.525141,,2455004.01897,,,1,,1,0,1,Kepler,,,,,1.0,0.06,-0.06,1.02,0.09,-0.09,5690.0,73.0,-73.0,10.297,9.26,8.927999999999999,,,,0.23800000000000002,0.02,-0.02,0.027,0.011,-0.011,,16.2385,,,,,
16,Kepler-97,b,2014,287.32662400000004,48.673431,,2455004.8412099998,,,1,,2,0,1,Kepler,,,,,0.94,0.06,-0.06,0.98,0.09,-0.09,5779.0,74.0,-74.0,12.872,11.744000000000002,11.408,,,,0.132,0.012,-0.012,0.011,0.006,-0.006,,2.58664,,,,,
18,Kepler-136,b,2014,296.467314,42.598771,,2455008.58649,0.00139,-0.00139,1,0.119,2,0,1,Kepler,,,,,,,,1.35,0.25,-0.25,6165.0,100.0,-100.0,12.459000000000001,10.804,10.573,0.106,,,0.183,0.034,-0.034,0.062,0.037,-0.033,,11.5789,3e-05,-3e-05,,,
19,Kepler-136,c,2014,296.467314,42.598771,,2454964.96851,0.0018,-0.0018,1,0.1459,2,0,1,Kepler,,,,,,,,1.35,0.25,-0.25,6165.0,100.0,-100.0,12.459000000000001,10.804,10.573,0.133,,,0.17800000000000002,0.033,-0.033,0.0145,,,,16.399235,5.1e-05,-5.1e-05,,,
20,Kepler-137,b,2014,282.135534,43.039101,,2455012.8864,0.00117,-0.00117,1,0.134,2,0,1,Kepler,,,,,,,,0.8,0.06,-0.06,5187.0,100.0,-100.0,12.99,11.65,11.229000000000001,0.077,,,0.131,0.01,-0.01,0.00869,,,,8.436387,1.8e-05,-1.8e-05,,,
21,Kepler-137,c,2014,282.135534,43.039101,,2455010.63394,0.00105,-0.00105,1,0.1252,2,0,1,Kepler,,,,,,,,0.8,0.06,-0.06,5187.0,100.0,-100.0,12.99,11.65,11.229000000000001,0.13,,,0.168,0.012,-0.012,0.0132,,,,18.735753,3.5e-05,-3.5e-05,,,
22,Kepler-138,b,2014,290.381547,43.292972999999996,,2455688.4142,0.0027,-0.0027,1,,3,0,1,Kepler,,,,,0.52,0.06,-0.06,0.44,0.02,-0.02,3841.0,49.0,-49.0,12.925,10.293,9.68,0.077,,,0.047,0.003,-0.003,0.00021,0.00018999999999999998,-0.00011999999999999999,,10.3126,0.0004,-0.0006,0.0,0.22,0.0
23,Kepler-138,c,2014,290.381547,43.292972999999996,,2455686.1289,0.0005,-0.0005,1,,3,0,1,Kepler,,,,,0.52,0.06,-0.06,0.44,0.02,-0.02,3841.0,49.0,-49.0,12.925,10.293,9.68,0.0906,0.00324,-0.00324,0.107,0.006,-0.006,0.0062,0.00602,-0.00352,398.0,13.7813,0.0001,-0.0001,0.05,0.049,-0.025
24,Kepler-138,d,2014,290.381547,43.292972999999996,,2455696.6689,0.0013,-0.0013,1,,3,0,1,Kepler,,,,,0.52,0.06,-0.06,0.44,0.02,-0.02,3841.0,49.0,-49.0,12.925,10.293,9.68,0.12780999999999998,0.00456,-0.00456,0.10800000000000001,0.006999999999999999,-0.006999999999999999,0.00201,0.00212,-0.00122,335.0,23.0881,0.0009,-0.0008,0.024,0.03,-0.016
25,Kepler-139,b,2014,282.391957,43.889351,,2455017.90582,0.0013,-0.0013,1,0.2112,2,0,1,Kepler,,,,,,,,1.3,0.25,-0.25,5594.0,100.0,-100.0,12.700999999999999,11.53,11.222000000000001,0.127,,,0.262,0.051,-0.051,0.0282,,,,15.771044,3.7e-05,-3.7e-05,,,
26,Kepler-139,c,2014,282.391957,43.889351,,2455314.26266,0.0044,-0.0044,1,0.3549,2,0,1,Kepler,,,,,,,,1.3,0.25,-0.25,5594.0,100.0,-100.0,12.700999999999999,11.53,11.222000000000001,0.586,,,0.302,0.062,-0.062,0.0357,,,,157.072878,0.00172,-0.00172,,,
27,Kepler-140,b,2014,287.36946800000004,46.768213,,2455005.66151,0.00133,-0.00133,1,0.1241,2,0,1,Kepler,,,,,,,,1.29,0.24,-0.24,6077.0,136.0,-136.0,12.995999999999999,11.989,11.759,0.045,,,0.14400000000000002,0.027999999999999997,-0.027999999999999997,0.0101,,,,3.25427,8e-06,-8e-06,,,
28,Kepler-140,c,2014,287.36946800000004,46.768213,,2455022.60562,0.008740000000000001,-0.008740000000000001,1,0.33,2,0,1,Kepler,,,,,,,,1.29,0.24,-0.24,6077.0,136.0,-136.0,12.995999999999999,11.989,11.759,0.414,,,0.161,0.031,-0.031,0.0123,,,,91.353282,0.00137,-0.00137,,,
29,Kepler-141,b,2014,297.97089700000004,47.731678,,2454965.63058,0.00374,-0.00374,1,0.0924,2,0,1,Kepler,,,,,,,,0.79,0.04,-0.04,4910.0,100.0,-100.0,13.448,11.955,11.485,0.039,,,0.062,0.004,-0.004,0.00081,,,,3.107675,2.2e-05,-2.2e-05,,,
30,Kepler-141,c,2014,297.97089700000004,47.731678,,2455007.5759900003,0.0014199999999999998,-0.0014199999999999998,1,0.1244,2,0,1,Kepler,,,,,,,,0.79,0.04,-0.04,4910.0,100.0,-100.0,13.448,11.955,11.485,0.067,,,0.126,0.008,-0.008,0.00809,,,,7.010606,2e-05,-2e-05,,,
31,Kepler-142,b,2014,295.118899,48.481281,,2455003.49468,0.00078,-0.00078,1,0.1037,3,0,1,Kepler,,,,,,,,1.27,0.24,-0.24,5790.0,100.0,-100.0,13.203,12.092,11.800999999999998,0.032,,,0.17800000000000002,0.035,-0.035,0.0145,,,,2.024152,3e-06,-3e-06,,,
32,Kepler-142,c,2014,295.118899,48.481281,,2455003.33543,0.0006,-0.0006,1,0.1376,3,0,1,Kepler,,,,,,,,1.27,0.24,-0.24,5790.0,100.0,-100.0,13.203,12.092,11.800999999999998,0.057,,,0.255,0.049,-0.049,0.0269,,,,4.761702,5e-06,-5e-06,,,
33,Kepler-142,d,2014,295.118899,48.481281,,2454981.6992599997,0.00831,-0.00831,1,0.362,3,0,1,Kepler,,,,,,,,1.27,0.24,-0.24,5790.0,100.0,-100.0,13.203,12.092,11.800999999999998,0.242,,,0.193,0.042,-0.042,0.0167,,,,41.809118,0.000562,-0.000562,,,
34,Kepler-143,b,2014,298.067706,49.412605,,2454975.63677,0.00321,-0.00321,1,0.0472,2,0,1,Kepler,,,,,,,,1.36,0.32,-0.32,5848.0,168.0,-168.0,13.77,12.59,12.292,0.127,,,0.215,0.054000000000000006,-0.054000000000000006,0.0201,,,,16.007583,9.3e-05,-9.3e-05,,,
70,Kepler-98,b,2014,285.66166200000004,37.964506,,2455003.54328,,,1,,1,0,1,Kepler,,,,,0.99,0.06,-0.06,1.11,0.12,-0.12,5539.0,73.0,-73.0,12.899000000000001,11.672,11.315999999999999,,,,0.17800000000000002,0.02,-0.02,0.011,0.005,-0.005,,1.54168,,,,,
71,Kepler-99,b,2014,297.35400400000003,41.300049,,2455004.83893,,,1,,1,0,1,Kepler,,,,,0.79,0.06,-0.06,0.73,0.04,-0.04,4782.0,129.0,-129.0,12.97,11.368,10.852,,,,0.132,0.006999999999999999,-0.006999999999999999,0.019,0.004,-0.004,,4.60358,,,,,
72,Kepler-100,b,2014,291.385979,41.990272999999995,,2454966.17797,,,1,,3,0,1,Kepler,,,,,1.08,0.06,-0.06,1.49,0.04,-0.04,5825.0,75.0,-75.0,11.197000000000001,10.081,9.804,,,,0.11800000000000001,0.004,-0.004,0.023,0.01,-0.01,,6.88705,,,0.13,0.27,-0.13
73,Kepler-100,c,2014,291.385979,41.990272999999995,,2454955.9471299998,,,1,,3,0,1,Kepler,,,,,1.08,0.06,-0.06,1.49,0.04,-0.04,5825.0,75.0,-75.0,11.197000000000001,10.081,9.804,,,,0.196,0.004,-0.004,0.022180000000000002,,,,12.8159,,,0.02,0.15,-0.01
